 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
355070 SAO SEBASTIAO;180;25658;1205;1794;28837
355080 SAO SEBASTIAO DA GRAMA;44;2783;203;82;3112
355090 SAO SIMAO;43;3572;200;63;3878
355100 SAO VICENTE;1021;105387;5620;1133;113161
355110 SARAPUI;7;2388;121;137;2653
355120 SARUTAIA;15;1085;65;26;1191
355130 SEBASTIANOPOLIS DO SUL;2;673;25;13;713
355140 SERRA AZUL;33;2729;154;46;2962
355150 SERRANA;223;13343;669;200;14435
355160 SERRA NEGRA;90;6685;367;113;7255
355170 SERTAOZINHO;220;33966;1630;419;36235
355180 SETE BARRAS;34;4748;270;58;5110
355190 SEVERINIA;38;4385;254;50;4727
355200 SILVEIRAS;16;1518;97;34;1665
355210 SOCORRO;79;8991;488;105;9663
355220 SOROCABA;1608;184932;8808;1653;197001
355230 SUD MENNUCCI;15;2076;110;158;2359
355240 SUMARE;692;78313;3307;1280;83592
355250 SUZANO;763;93305;5074;2520;101662
355255 SUZANAPOLIS;7;662;45;246;960
355260 TABAPUA;22;2655;135;50;2862
355270 TABATINGA;15;4324;237;72;4648
355280 TABOAO DA SERRA;1214;89534;4953;5646;101347
355290 TACIBA;18;1610;105;43;1776
355300 TAGUAI;26;3672;161;33;3892
355310 TAIACU;18;1435;76;28;1557
355320 TAIUVA;8;1160;71;78;1317
355330 TAMBAU;88;6314;386;97;6885
355340 TANABI;45;5710;307;77;6139
355350 TAPIRAI;19;2583;204;37;2843
355360 TAPIRATIBA;32;3006;213;53;3304
355365 TAQUARAL;9;715;40;6;770
355370 TAQUARITINGA;43;14702;806;164;15715
355380 TAQUARITUBA;99;6773;377;140;7389
355385 TAQUARIVAI;22;1931;112;9;2074
355390 TARABAI;25;1945;113;24;2107
355395 TARUMA;37;4203;203;46;4489
355400 TATUI;183;35576;1674;262;37695
355410 TAUBATE;801;80884;4223;3448;89356
355420 TEJUPA;10;1612;91;32;1745
355430 TEODORO SAMPAIO;62;7032;426;64;7584
355440 TERRA ROXA;18;2155;111;119;2403
355450 TIETE;114;10335;547;113;11109
355460 TIMBURI;1;550;35;8;594
355465 TORRE DE PEDRA;3;566;30;10;609
355470 TORRINHA;9;2100;144;28;2281
355475 TRABIJU;2;395;22;15;434
355480 TREMEMBE;102;10690;550;641;11983
355490 TRES FRONTEIRAS;14;1263;57;99;1433
355495 TUIUTI;13;1326;57;22;1418
355500 TUPA;111;16135;927;154;17327
355510 TUPI PAULISTA;35;2884;145;43;3107
355520 TURIUBA;7;333;17;12;369
355530 TURMALINA;3;277;13;38;331
355535 UBARANA;25;1510;105;127;1767
355540 UBATUBA;149;26918;1533;356;28956
355550 UBIRAJARA;19;1440;59;20;1538
355560 UCHOA;26;2228;108;16;2378
355570 UNIAO PAULISTA;7;465;16;8;496
355580 URANIA;11;1579;97;512;2199
355590 URU;3;222;17;78;320
355600 URUPES;30;2880;153;40;3103
355610 VALENTIM GENTIL;15;3165;112;35;3327
355620 VALINHOS;177;26198;1274;2309;29958
355630 VALPARAISO;29;5684;312;1026;7051
355635 VARGEM;20;2193;86;30;2329
355640 VARGEM GRANDE DO SUL;51;10707;628;1275;12661
355645 VARGEM GRANDE PAULISTA;105;11183;761;4305;16354
355650 VARZEA PAULISTA;281;29617;1887;4659;36444
355660 VERA CRUZ;38;2710;195;24;2967
355670 VINHEDO;165;16047;828;2993;20033
355680 VIRADOURO;39;5033;255;81;5408
355690 VISTA ALEGRE DO ALTO;22;1825;57;16;1920
355695 VITORIA BRASIL;4;256;26;180;466
355700 VOTORANTIM;359;35953;1889;298;38499
355710 VOTUPORANGA;135;21951;1011;218;23315
355715 ZACARIAS;3;538;19;11;571
355720 CHAVANTES;33;3823;190;51;4097
355730 ESTIVA GERBI;20;2427;125;341;2913
 MUNICIPIO IGNORADO - PR;-;33;89;7;129
410010 ABATIA;14;2155;115;1;2285
410020 ADRIANOPOLIS;23;1723;88;38;1872
410030 AGUDOS DO SUL;15;2527;101;36;2679
410040 ALMIRANTE TAMANDARE;291;38614;1859;425;41189
410045 ALTAMIRA DO PARANA;8;1400;102;15;1525
410050 ALTONIA;24;5635;299;4;5962
410060 ALTO PARANA;20;3764;182;6;3972
410070 ALTO PIQUIRI;9;2897;215;6;3127
410080 ALVORADA DO SUL;14;2262;143;44;2463
410090 AMAPORA;4;1751;93;9;1857
410100 AMPERE;72;5364;262;29;5727
410105 ANAHY;13;746;47;2;808
410110 ANDIRA;34;5861;375;15;6285
410115 ANGULO;3;852;22;2;879
410120 ANTONINA;41;5990;314;19;6364
410130 ANTONIO OLINTO;11;1677;104;2;1794
410140 APUCARANA;322;36754;1876;12;38964
410150 ARAPONGAS;162;32277;1477;16;33932
410160 ARAPOTI;74;8824;476;34;9408
410165 ARAPUA;1;1073;70;1;1145
410170 ARARUNA;9;4068;214;3;4294
410180 ARAUCARIA;322;46091;2053;256;48722
410185 ARIRANHA DO IVAI;6;728;35;1;770
410190 ASSAI;31;4649;296;15;4991
410200 ASSIS CHATEAUBRIAND;72;9213;477;17;9779
410210 ASTORGA;59;7134;325;4;7522
410220 ATALAIA;6;883;34;4;927
410230 BALSA NOVA;25;3724;155;38;3942
410240 BANDEIRANTES;69;9773;601;5;10448
410250 BARBOSA FERRAZ;15;3004;210;68;3297
410260 BARRACAO;33;3058;175;12;3278
410270 BARRA DO JACARE;2;587;23;1;613
410275 BELA VISTA DA CAROBA;10;1046;66;2;1124
410280 BELA VISTA DO PARAISO;25;4309;269;19;4622
410290 BITURUNA;62;6354;401;55;6872
410300 BOA ESPERANCA;2;1157;65;7;1231
410302 BOA ESPERANCA DO IGUACU;6;769;35;15;825
410304 BOA VENTURA DE SAO ROQUE;20;2062;136;1;2219
410305 BOA VISTA DA APARECIDA;15;2533;189;2;2739
410310 BOCAIUVA DO SUL;30;3801;177;23;4031
410315 BOM JESUS DO SUL;15;1105;81;7;1208
410320 BOM SUCESSO;14;2088;66;4;2172
410322 BOM SUCESSO DO SUL;7;809;50;1;867
410330 BORRAZOPOLIS;12;2026;130;4;2172
410335 BRAGANEY;16;1608;96;16;1736
410337 BRASILANDIA DO SUL;5;970;55;-;1030
410340 CAFEARA;8;624;23;3;658
410345 CAFELANDIA;47;5327;205;14;5593
410347 CAFEZAL DO SUL;2;1110;70;1;1183
410350 CALIFORNIA;14;2471;144;1;2630
410360 CAMBARA;48;6672;375;26;7121
410370 CAMBE;159;27909;1509;116;29693
410380 CAMBIRA;21;2053;83;-;2157
410390 CAMPINA DA LAGOA;27;4946;279;23;5275
410395 CAMPINA DO SIMAO;7;1622;115;2;1746
410400 CAMPINA GRANDE DO SUL;107;15973;804;81;16965
410405 CAMPO BONITO;20;1340;92;-;1452
410410 CAMPO DO TENENTE;12;2604;120;16;2752
410420 CAMPO LARGO;230;35730;1841;305;38106
410425 CAMPO MAGRO;49;8494;398;35;8976
410430 CAMPO MOURAO;147;27563;1529;26;29265
410440 CANDIDO DE ABREU;21;5289;431;21;5762
410442 CANDOI;23;5802;340;4;6169
410445 CANTAGALO;31;4514;334;2;4881
410450 CAPANEMA;38;5276;305;16;5635
410460 CAPITAO LEONIDAS MARQUES;44;4649;287;34;5014
410465 CARAMBEI;36;7528;287;27;7878
410470 CARLOPOLIS;22;4221;225;15;4483
410480 CASCAVEL;959;98299;4702;47;104007
410490 CASTRO;196;27123;1491;39;28849
410500 CATANDUVAS;21;3008;184;5;3218
410510 CENTENARIO DO SUL;26;2905;199;33;3163
410520 CERRO AZUL;42;5419;343;53;5857
410530 CEU AZUL;32;2927;176;3;3138
410540 CHOPINZINHO;72;6309;379;17;6777
410550 CIANORTE;169;21313;932;12;22426
410560 CIDADE GAUCHA;24;3563;171;13;3771
410570 CLEVELANDIA;43;6235;440;13;6731
410580 COLOMBO;564;79479;3411;336;83790
410590 COLORADO;32;6038;299;-;6369
410600 CONGONHINHAS;29;2628;142;8;2807
410610 CONSELHEIRO MAIRINCK;3;984;58;7;1052
410620 CONTENDA;26;4654;224;69;4973
410630 CORBELIA;41;4858;245;23;5167
410640 CORNELIO PROCOPIO;95;12188;734;14;13031
410645 CORONEL DOMINGOS SOARES;17;2414;151;10;2592
410650 CORONEL VIVIDA;70;7080;421;17;7588
410655 CORUMBATAI DO SUL;1;1104;80;9;1194
410657 CRUZEIRO DO IGUACU;10;1130;49;54;1243
410660 CRUZEIRO DO OESTE;38;5876;328;35;6277
410670 CRUZEIRO DO SUL;9;1484;64;4;1561
410680 CRUZ MACHADO;50;5573;398;24;6045
410685 CRUZMALTINA;6;845;35;1;887
410690 CURITIBA;3554;516662;28847;3462;552525
410700 CURIUVA;21;4432;243;16;4712
410710 DIAMANTE DO NORTE;11;1351;95;2;1459
410712 DIAMANTE DO SUL;12;1159;74;-;1245
410715 DIAMANTE D'OESTE;19;1527;47;9;1602
410720 DOIS VIZINHOS;78;11928;557;417;12980
410725 DOURADINA;11;2501;99;3;2614
410730 DOUTOR CAMARGO;7;1304;73;3;1387
410740 ENEAS MARQUES;22;1552;96;4;1674
410750 ENGENHEIRO BELTRAO;23;3716;234;5;3978
410752 ESPERANCA NOVA;2;476;29;-;507
410753 ENTRE RIOS DO OESTE;5;1162;48;2;1217
410754 ESPIGAO ALTO DO IGUACU;14;1665;86;1;1766
410755 FAROL;1;978;55;8;1042
410760 FAXINAL;33;5595;213;19;5860
410765 FAZENDA RIO GRANDE;221;35761;1419;241;37642
410770 FENIX;7;1231;80;2;1320
410773 FERNANDES PINHEIRO;7;2059;124;9;2199
410775 FIGUEIRA;11;2481;183;17;2692
410780 FLORAI;13;1137;54;8;1212
410785 FLOR DA SERRA DO SUL;9;1539;114;7;1669
410790 FLORESTA;21;1960;55;6;2042
410800 FLORESTOPOLIS;10;2967;149;512;3638
410810 FLORIDA;6;710;32;-;748
410820 FORMOSA DO OESTE;12;1858;124;6;2000
410830 FOZ DO IGUACU;887;100183;6312;90;107472
410832 FRANCISCO ALVES;16;2173;96;3;2288
410840 FRANCISCO BELTRAO;199;26060;1317;30;27606
410845 FOZ DO JORDAO;3;2143;163;-;2309
410850 GENERAL CARNEIRO;29;5402;410;18;5859
410855 GODOY MOREIRA;4;854;45;4;907
410860 GOIOERE;35;8284;499;39;8857
410865 GOIOXIM;15;2712;167;1;2895
410870 GRANDES RIOS;13;2088;165;2;2268
410880 GUAIRA;53;10744;550;35;11382
410890 GUAIRACA;11;1937;108;6;2062
410895 GUAMIRANGA;18;2384;110;9;2521
410900 GUAPIRAMA;9;1252;63;3;1327
410910 GUAPOREMA;6;505;30;3;544
410920 GUARACI;4;1269;56;3;1332
410930 GUARANIACU;40;4812;338;4;5194
410940 GUARAPUAVA;469;63696;3592;40;67797
410950 GUARAQUECABA;22;2459;156;10;2647
410960 GUARATUBA;80;10984;570;171;11805
410965 HONORIO SERPA;17;1843;128;5;1993
410970 IBAITI;54;9047;502;12;9615
410975 IBEMA;26;2147;121;36;2330
410980 IBIPORA;120;14697;787;67;15671
410990 ICARAIMA;16;2565;155;3;2739
411000 IGUARACU;13;1173;51;1;1238
411005 IGUATU;4;557;40;1;602
411007 IMBAU;36;4125;180;11;4352
411010 IMBITUVA;51;10601;595;7;11254
411020 INACIO MARTINS;30;4119;270;15;4434
