 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Cor/raça;;;;;;;
Período:2000-2022;;;;;;;
Município;Branca;Preta;Amarela;Parda;Indígena;Ignorado;Total
421510 RODEIO;2534;14;2;88;2;4;2644
421520 ROMELANDIA;1258;16;-;61;-;4;1339
421530 SALETE;2158;9;2;28;-;46;2243
421535 SALTINHO;1187;12;4;95;1;3;1302
421540 SALTO VELOSO;1054;8;2;95;1;18;1178
421545 SANGAO;3406;302;3;204;2;9;3926
421550 SANTA CECILIA;6789;52;11;328;6;140;7326
421555 SANTA HELENA;569;5;3;36;-;2;615
421560 SANTA ROSA DE LIMA;494;3;-;5;-;2;504
421565 SANTA ROSA DO SUL;2312;28;1;29;1;11;2382
421567 SANTA TEREZINHA;2272;7;-;82;1;34;2396
421568 SANTA TEREZINHA DO PROGRESSO;813;7;-;45;1;1;867
421569 SANTIAGO DO SUL;359;8;1;58;-;1;427
421570 SANTO AMARO DA IMPERATRIZ;5013;207;12;175;3;637;6047
421575 SAO BERNARDINO;875;9;-;61;2;3;950
421580 SAO BENTO DO SUL;26388;75;12;335;2;171;26983
421590 SAO BONIFACIO;597;9;-;9;-;14;629
421600 SAO CARLOS;2542;16;4;114;-;17;2693
421605 SAO CRISTOVAO DO SUL;1622;7;4;146;2;30;1811
421610 SAO DOMINGOS;2275;32;12;434;13;8;2774
421620 SAO FRANCISCO DO SUL;13180;368;11;905;80;31;14575
421625 SAO JOAO DO OESTE;1284;10;-;28;-;15;1337
421630 SAO JOAO BATISTA;7578;242;47;581;4;121;8573
421635 SAO JOAO DO ITAPERIU;1049;11;-;62;-;1;1123
421640 SAO JOAO DO SUL;1989;16;1;16;-;7;2029
421650 SAO JOAQUIM;7053;331;26;1111;3;37;8561
421660 SAO JOSE;54924;2805;103;3247;32;7697;68808
421670 SAO JOSE DO CEDRO;3762;54;1;175;-;5;3997
421680 SAO JOSE DO CERRITO;1966;43;2;211;-;20;2242
421690 SAO LOURENCO DO OESTE;6862;69;12;770;2;63;7778
421700 SAO LUDGERO;3353;125;10;191;2;37;3718
421710 SAO MARTINHO;839;-;-;12;-;4;855
421715 SAO MIGUEL DA BOA VISTA;457;8;-;20;-;-;485
421720 SAO MIGUEL DO OESTE;10335;189;5;699;3;15;11246
421725 SAO PEDRO DE ALCANTARA;689;11;-;8;1;77;786
421730 SAUDADES;2376;23;5;111;-;6;2521
421740 SCHROEDER;4731;73;4;350;-;13;5171
421750 SEARA;4984;77;19;118;23;31;5252
421755 SERRA ALTA;818;2;1;13;-;2;836
421760 SIDEROPOLIS;2835;267;4;206;1;10;3323
421770 SOMBRIO;9090;90;3;113;3;62;9361
421775 SUL BRASIL;779;6;-;22;-;3;810
421780 TAIO;4954;21;5;85;1;595;5661
421790 TANGARA;2035;16;4;139;1;15;2210
421795 TIGRINHOS;546;3;-;29;1;-;579
421800 TIJUCAS;10669;571;12;733;27;499;12511
421810 TIMBE DO SUL;1443;30;2;20;-;10;1505
421820 TIMBO;9725;72;6;449;1;33;10286
421825 TIMBO GRANDE;2665;11;2;113;1;49;2841
421830 TRES BARRAS;7131;12;-;21;-;52;7216
421835 TREVISO;808;12;2;26;-;5;853
421840 TREZE DE MAIO;1752;26;-;58;-;5;1841
421850 TREZE TILIAS;2014;24;2;130;-;19;2189
421860 TROMBUDO CENTRAL;2002;16;-;71;-;7;2096
421870 TUBARAO;26361;1646;27;1024;8;68;29134
421875 TUNAPOLIS;1205;6;3;50;1;6;1271
421880 TURVO;3534;80;4;46;2;12;3678
421885 UNIAO DO OESTE;714;9;-;39;-;2;764
421890 URUBICI;2936;84;2;264;3;28;3317
421895 URUPEMA;646;22;1;113;-;2;784
421900 URUSSANGA;4577;142;5;144;1;16;4885
421910 VARGEAO;1073;21;5;96;2;1;1198
421915 VARGEM;674;6;1;91;1;54;827
421917 VARGEM BONITA;1459;20;3;231;3;13;1729
421920 VIDAL RAMOS;1858;21;-;47;-;3;1929
421930 VIDEIRA;15902;327;15;1076;4;103;17427
421935 VITOR MEIRELES;1616;9;2;37;251;7;1922
421940 WITMARSUM;1115;7;1;20;5;1;1149
421950 XANXERE;12531;256;49;2224;89;38;15187
421960 XAVANTINA;780;12;3;16;2;4;817
421970 XAXIM;6855;617;38;1603;8;47;9168
421985 ZORTEA;969;8;1;34;1;16;1029
422000 BALNEARIO RINCAO;1594;159;-;154;1;6;1914
 MUNICIPIO IGNORADO - RS;1;-;-;-;-;-;1
430003 ACEGUA;1223;58;-;136;2;-;1419
430005 AGUA SANTA;769;5;2;34;145;2;957
430010 AGUDO;3584;193;39;340;3;12;4171
430020 AJURICABA;1504;12;-;170;1;2;1689
430030 ALECRIM;1314;6;2;84;1;1;1408
430040 ALEGRETE;18417;1366;9;2798;2;16;22608
430045 ALEGRIA;891;1;-;34;-;2;928
430047 ALMIRANTE TAMANDARE DO SUL;396;5;-;11;-;-;412
430050 ALPESTRE;1799;18;2;108;5;2;1934
430055 ALTO ALEGRE;362;2;-;10;-;-;374
430057 ALTO FELIZ;501;8;1;10;1;5;526
430060 ALVORADA;54646;10693;47;9771;30;20;75207
430063 AMARAL FERRADOR;1213;163;1;151;-;3;1531
430064 AMETISTA DO SUL;2265;34;3;86;2;7;2397
430066 ANDRE DA ROCHA;208;9;-;36;-;2;255
430070 ANTA GORDA;1201;12;1;21;-;4;1239
430080 ANTONIO PRADO;2607;191;3;322;1;9;3133
430085 ARAMBARE;727;105;2;106;-;-;940
430087 ARARICA;1878;25;-;91;1;4;1999
430090 ARATIBA;1188;33;-;78;1;-;1300
430100 ARROIO DO MEIO;4773;127;6;183;3;1;5093
430105 ARROIO DO SAL;2118;50;1;60;-;5;2234
430107 ARROIO DO PADRE;502;25;-;21;-;14;562
430110 ARROIO DOS RATOS;3395;244;1;271;1;10;3922
430120 ARROIO DO TIGRE;3273;205;11;195;1;6;3691
430130 ARROIO GRANDE;4245;350;4;531;2;93;5225
430140 ARVOREZINHA;2564;77;3;137;1;9;2791
430150 AUGUSTO PESTANA;1439;12;2;126;2;5;1586
430155 AUREA;736;5;1;32;1;-;775
430160 BAGE;26802;4049;22;7282;14;32;38201
430163 BALNEARIO PINHAL;2488;203;-;251;1;6;2949
430165 BARAO;1071;13;-;31;2;3;1120
430170 BARAO DE COTEGIPE;1340;12;4;213;6;1;1576
430175 BARAO DO TRIUNFO;1498;49;-;55;-;13;1615
430180 BARRACAO;1224;8;-;52;1;2;1287
430185 BARRA DO GUARITA;915;6;-;47;3;3;974
430187 BARRA DO QUARAI;747;13;-;203;4;44;1011
430190 BARRA DO RIBEIRO;2692;235;1;307;211;10;3456
430192 BARRA DO RIO AZUL;304;2;-;9;-;-;315
430195 BARRA FUNDA;659;1;-;5;-;6;671
430200 BARROS CASSAL;3159;39;3;130;1;10;3342
430205 BENJAMIN CONSTANT DO SUL;268;3;-;38;585;9;903
430210 BENTO GONCALVES;28330;927;3;2101;12;7;31380
430215 BOA VISTA DAS MISSOES;580;1;-;10;-;5;596
430220 BOA VISTA DO BURICA;1551;5;2;86;-;7;1651
430222 BOA VISTA DO CADEADO;434;6;-;18;-;1;459
430223 BOA VISTA DO INCRA;679;4;1;27;-;-;711
430225 BOA VISTA DO SUL;429;3;-;20;-;2;454
430230 BOM JESUS;3295;102;14;671;6;27;4115
430235 BOM PRINCIPIO;3083;51;1;126;1;41;3303
430237 BOM PROGRESSO;604;5;1;79;1;4;694
430240 BOM RETIRO DO SUL;3041;232;-;83;2;6;3364
430245 BOQUEIRAO DO LEAO;1918;28;-;462;2;3;2413
430250 BOSSOROCA;1553;8;1;77;-;4;1643
430258 BOZANO;395;3;-;47;-;-;445
430260 BRAGA;945;8;28;141;5;7;1134
430265 BROCHIER;900;15;-;21;-;-;936
430270 BUTIA;5202;428;4;397;2;25;6058
430280 CACAPAVA DO SUL;7286;1624;10;463;49;45;9477
430290 CACEQUI;2732;127;2;410;7;11;3289
430300 CACHOEIRA DO SUL;20133;2675;9;1723;35;22;24597
430310 CACHOEIRINHA;37117;2857;19;1552;12;127;41684
430320 CACIQUE DOBLE;788;12;-;35;550;6;1391
430330 CAIBATE;992;11;3;263;1;1;1271
430340 CAICARA;1059;15;1;97;-;3;1175
430350 CAMAQUA;16996;1360;13;1468;96;22;19955
430355 CAMARGO;640;4;1;21;-;1;667
430360 CAMBARA DO SUL;1879;64;13;141;-;4;2101
430367 CAMPESTRE DA SERRA;565;5;-;33;-;8;611
430370 CAMPINA DAS MISSOES;1166;8;-;97;-;1;1272
430380 CAMPINAS DO SUL;1121;13;1;185;-;4;1324
430390 CAMPO BOM;18537;445;11;677;5;65;19740
430400 CAMPO NOVO;1478;12;48;216;3;10;1767
430410 CAMPOS BORGES;893;5;-;18;-;3;919
430420 CANDELARIA;7642;411;7;422;5;23;8510
430430 CANDIDO GODOI;1377;5;-;71;1;1;1455
430435 CANDIOTA;2453;179;5;487;4;6;3134
430440 CANELA;13262;477;11;1128;4;8;14890
430450 CANGUCU;12968;824;7;480;14;83;14376
430460 CANOAS;96819;8312;61;9713;43;420;115368
430461 CANUDOS DO VALE;321;2;-;8;-;1;332
430462 CAPAO BONITO DO SUL;354;6;-;12;-;1;373
430463 CAPAO DA CANOA;16840;813;8;412;2;86;18161
430465 CAPAO DO CIPO;709;6;-;40;1;-;756
430466 CAPAO DO LEAO;6401;662;5;514;2;186;7770
430467 CAPIVARI DO SUL;883;89;1;81;14;4;1072
430468 CAPELA DE SANTANA;2790;70;2;159;4;3;3028
430469 CAPITAO;739;11;-;26;-;-;776
430470 CARAZINHO;18324;199;1;646;33;16;19219
430471 CARAA;1170;31;-;46;15;12;1274
430480 CARLOS BARBOSA;6146;69;-;294;2;4;6515
430485 CARLOS GOMES;308;2;-;13;-;1;324
430490 CASCA;1746;31;2;90;-;9;1878
430495 CASEIROS;646;11;1;31;3;3;695
430500 CATUIPE;1924;11;1;224;2;3;2165
430510 CAXIAS DO SUL;119880;2860;65;12196;29;216;135246
430511 CENTENARIO;573;5;1;17;-;1;597
430512 CERRITO;1052;110;1;86;-;33;1282
430513 CERRO BRANCO;729;53;1;51;-;1;835
430515 CERRO GRANDE;750;5;-;13;2;4;774
430517 CERRO GRANDE DO SUL;2683;132;1;264;2;8;3090
430520 CERRO LARGO;2754;8;-;429;2;5;3198
430530 CHAPADA;1871;18;-;47;-;19;1955
430535 CHARQUEADAS;8099;342;2;433;20;13;8909
430537 CHARRUA;342;3;-;10;782;10;1147
430540 CHIAPETTA;880;12;10;269;2;-;1173
430543 CHUI;1143;36;-;38;1;11;1229
430544 CHUVISCA;1364;53;-;64;-;1;1482
430545 CIDREIRA;3115;332;1;339;3;11;3801
430550 CIRIACO;1006;22;1;52;1;2;1084
430558 COLINAS;432;6;-;9;-;2;449
430560 COLORADO;532;17;1;28;-;1;579
430570 CONDOR;1436;24;5;146;2;2;1615
430580 CONSTANTINA;2431;26;-;154;261;28;2900
430583 COQUEIRO BAIXO;186;5;-;15;-;-;206
430585 COQUEIROS DO SUL;511;3;-;7;-;2;523
430587 CORONEL BARROS;569;2;-;38;-;3;612
430590 CORONEL BICACO;2019;32;49;336;10;5;2451
430593 CORONEL PILAR;210;-;-;12;1;-;223
430595 COTIPORA;588;7;-;25;-;1;621
430597 COXILHA;784;28;-;90;-;-;902
430600 CRISSIUMAL;3416;6;1;23;-;12;3458
430605 CRISTAL;1824;295;5;111;7;11;2253
430607 CRISTAL DO SUL;813;4;1;17;-;1;836
430610 CRUZ ALTA;19106;489;12;1495;19;32;21153
430613 CRUZALTENSE;380;-;1;31;-;-;412
430620 CRUZEIRO DO SUL;2339;122;1;91;5;5;2563
430630 DAVID CANABARRO;993;14;1;27;-;5;1040
430632 DERRUBADAS;866;3;-;23;2;3;897
430635 DEZESSEIS DE NOVEMBRO;625;1;-;14;-;1;641
430637 DILERMANDO DE AGUIAR;598;32;1;73;1;3;708
430640 DOIS IRMAOS;7963;105;16;187;7;53;8331
430642 DOIS IRMAOS DAS MISSOES;647;8;-;47;1;10;713
430645 DOIS LAJEADOS;571;5;-;21;-;1;598
430650 DOM FELICIANO;3488;531;11;213;-;14;4257
430655 DOM PEDRO DE ALCANTARA;489;6;-;7;-;4;506
430660 DOM PEDRITO;9376;1073;5;859;7;15;11335
430670 DONA FRANCISCA;610;38;1;125;-;5;779
430673 DOUTOR MAURICIO CARDOSO;942;5;2;54;1;10;1014
430675 DOUTOR RICARDO;331;11;-;21;-;-;363
430676 ELDORADO DO SUL;9748;953;12;1158;22;52;11945
430680 ENCANTADO;4923;339;2;288;1;17;5570
430690 ENCRUZILHADA DO SUL;6291;960;17;178;1;17;7464
430692 ENGENHO VELHO;267;2;-;20;308;4;601
430693 ENTRE-IJUIS;2236;8;6;183;1;1;2435
430695 ENTRE RIOS DO SUL;715;32;1;71;7;3;829
430697 EREBANGO;680;12;-;63;169;4;928
430700 ERECHIM;25759;404;18;3586;28;31;29826
430705 ERNESTINA;767;2;-;34;-;-;803
430710 HERVAL;1611;103;1;213;4;41;1973
430720 ERVAL GRANDE;1143;14;-;171;4;1;1333
430730 ERVAL SECO;2136;17;2;85;7;13;2260
430740 ESMERALDA;691;18;4;136;1;18;868
430745 ESPERANCA DO SUL;838;5;2;74;-;16;935
430750 ESPUMOSO;4455;16;3;113;1;3;4591
430755 ESTACAO;1364;133;-;44;-;5;1546
430760 ESTANCIA VELHA;13131;295;9;441;1;29;13906
430770 ESTEIO;25207;1875;13;1662;9;108;28874
430780 ESTRELA;8119;401;3;449;55;17;9044
430781 ESTRELA VELHA;843;40;-;30;27;3;943
430783 EUGENIO DE CASTRO;621;5;4;68;-;2;700
430786 FAGUNDES VARELA;443;9;-;18;-;-;470
430790 FARROUPILHA;16942;337;9;1465;24;31;18808
430800 FAXINAL DO SOTURNO;1270;93;1;170;-;5;1539
430805 FAXINALZINHO;532;9;1;41;129;2;714
430807 FAZENDA VILANOVA;1012;58;-;60;3;2;1135
430810 FELIZ;2910;58;3;123;-;17;3111
430820 FLORES DA CUNHA;7166;182;1;425;2;20;7796
430825 FLORIANO PEIXOTO;338;4;-;6;-;3;351
430830 FONTOURA XAVIER;2965;8;6;36;-;14;3029
430840 FORMIGUEIRO;1140;243;5;202;3;4;1597
430843 FORQUETINHA;367;2;-;11;-;-;380
430845 FORTALEZA DOS VALOS;1158;9;-;61;-;4;1232
430850 FREDERICO WESTPHALEN;8512;57;6;191;2;82;8850
430860 GARIBALDI;7037;176;1;579;3;25;7821
430865 GARRUCHOS;703;-;-;29;-;1;733
430870 GAURAMA;1125;12;-;79;-;-;1216
430880 GENERAL CAMARA;1795;72;-;92;-;4;1963
430885 GENTIL;365;3;1;13;57;-;439
430890 GETULIO VARGAS;3964;50;8;194;10;13;4239
430900 GIRUA;4227;58;18;431;2;2;4738
430905 GLORINHA;1462;128;2;119;2;8;1721
430910 GRAMADO;10707;207;11;666;3;23;11617
430912 GRAMADO DOS LOUREIROS;447;4;1;25;216;3;696
430915 GRAMADO XAVIER;969;13;2;227;2;2;1215
430920 GRAVATAI;70416;6180;47;5123;39;289;82094
430925 GUABIJU;226;8;-;19;-;3;256
430930 GUAIBA;25528;2629;26;2508;29;80;30800
430940 GUAPORE;5704;195;5;448;6;10;6368
430950 GUARANI DAS MISSOES;1836;19;1;108;3;2;1969
430955 HARMONIA;967;32;-;17;1;14;1031
430957 HERVEIRAS;777;10;2;92;-;8;889
430960 HORIZONTINA;5014;28;3;164;5;16;5230
430965 HULHA NEGRA;1597;73;-;366;1;4;2041
430970 HUMAITA;1043;13;-;35;5;5;1101
430975 IBARAMA;1169;29;1;42;-;6;1247
430980 IBIACA;874;2;4;66;1;5;952
430990 IBIRAIARAS;1409;24;1;76;127;10;1647
430995 IBIRAPUITA;1071;8;1;21;-;2;1103
431000 IBIRUBA;5389;49;1;178;1;7;5625
431010 IGREJINHA;10623;226;7;460;4;29;11349
431020 IJUI;22407;224;9;1995;5;9;24649
431030 ILOPOLIS;1021;9;-;13;-;4;1047
431033 IMBE;5391;177;4;284;2;17;5875
431036 IMIGRANTE;561;8;2;4;-;2;577
431040 INDEPENDENCIA;1618;14;1;61;1;5;1700
431041 INHACORA;499;5;3;189;9;1;706
431043 IPE;1055;45;3;113;2;5;1223
431046 IPIRANGA DO SUL;334;10;-;19;-;1;364
431050 IRAI;2079;12;1;48;376;8;2524
431053 ITAARA;1233;52;2;108;2;1;1398
431055 ITACURUBI;722;10;-;49;-;4;785
431057 ITAPUCA;526;10;-;21;-;-;557
431060 ITAQUI;12570;98;4;658;3;82;13415
431065 ITATI;568;18;-;13;-;4;603
431070 ITATIBA DO SUL;874;5;1;58;-;1;939
431075 IVORA;347;8;-;47;-;2;404
431080 IVOTI;5576;49;8;148;1;27;5809
431085 JABOTICABA;994;5;-;24;1;1;1025
431087 JACUIZINHO;472;11;2;36;-;4;525
431090 JACUTINGA;639;13;-;99;1;-;752
431100 JAGUARAO;7425;321;-;648;2;60;8456
431110 JAGUARI;2076;39;2;290;6;5;2418
431112 JAQUIRANA;1118;41;3;185;2;9;1358
431113 JARI;754;14;-;64;-;4;836
431115 JOIA;2013;21;5;235;-;6;2280
431120 JULIO DE CASTILHOS;5074;305;3;748;4;31;6165
431123 LAGOA BONITA DO SUL;609;11;-;15;-;-;635
431125 LAGOAO;1744;25;2;76;-;4;1851
431127 LAGOA DOS TRES CANTOS;321;4;-;9;-;-;334
431130 LAGOA VERMELHA;8446;103;21;357;8;40;8975
431140 LAJEADO;21487;925;5;1303;64;19;23803
431142 LAJEADO DO BUGRE;791;2;-;20;11;13;837
431150 LAVRAS DO SUL;1372;300;4;287;2;4;1969
431160 LIBERATO SALZANO;1211;3;1;38;262;7;1522
431162 LINDOLFO COLLOR;1683;32;2;72;2;13;1804
431164 LINHA NOVA;214;2;-;6;-;-;222
431170 MACHADINHO;1484;20;3;136;-;2;1645
431171 MACAMBARA;1120;7;-;50;-;4;1181
431173 MAMPITUBA;857;4;-;8;-;4;873
431175 MANOEL VIANA;1563;56;1;166;1;7;1794
431177 MAQUINE;1613;69;-;31;31;4;1748
431179 MARATA;471;4;-;9;-;-;484
431180 MARAU;10549;239;14;302;7;12;11123
431190 MARCELINO RAMOS;1025;5;-;87;1;-;1118
431198 MARIANA PIMENTEL;776;36;1;44;34;1;892
431200 MARIANO MORO;409;4;-;14;1;1;429
431205 MARQUES DE SOUZA;803;3;-;29;1;-;836
431210 MATA;1028;28;1;107;-;5;1169
431213 MATO CASTELHANO;605;3;1;34;97;-;740
431215 MATO LEITAO;862;23;-;37;-;1;923
431217 MATO QUEIMADO;332;2;1;87;-;-;422
431220 MAXIMILIANO DE ALMEIDA;1006;7;1;198;4;1;1217
431225 MINAS DO LEAO;2036;183;1;182;1;7;2410
431230 MIRAGUAI;1276;7;3;63;61;13;1423
431235 MONTAURI;282;2;1;3;-;-;288
431237 MONTE ALEGRE DOS CAMPOS;655;20;-;136;2;4;817
431238 MONTE BELO DO SUL;444;1;-;7;-;-;452
431240 MONTENEGRO;17746;1157;10;1052;19;17;20001
431242 MORMACO;655;6;-;13;-;1;675
431244 MORRINHOS DO SUL;656;3;-;2;-;-;661
431245 MORRO REDONDO;1097;71;-;52;1;24;1245
431247 MORRO REUTER;1316;17;2;21;-;13;1369
431250 MOSTARDAS;2511;297;1;378;3;7;3197
431260 MUCUM;998;12;-;49;-;3;1062
431261 MUITOS CAPOES;584;31;1;101;-;3;720
431262 MULITERNO;336;2;-;14;171;3;526
431265 NAO-ME-TOQUE;4638;40;-;100;-;6;4784
431267 NICOLAU VERGUEIRO;428;4;-;23;1;1;457
431270 NONOAI;3163;180;8;292;680;19;4342
431275 NOVA ALVORADA;871;10;-;21;-;-;902
431280 NOVA ARACA;902;38;1;209;1;2;1153
431290 NOVA BASSANO;1721;24;-;118;2;5;1870
431295 NOVA BOA VISTA;391;-;-;1;1;5;398
431300 NOVA BRESCIA;575;18;-;29;-;4;626
431301 NOVA CANDELARIA;610;1;-;20;-;2;633
431303 NOVA ESPERANCA DO SUL;1113;8;-;46;1;3;1171
431306 NOVA HARTZ;5577;78;6;221;4;16;5902
431308 NOVA PADUA;375;1;-;19;1;-;396
431310 NOVA PALMA;1428;27;1;117;-;7;1580
431320 NOVA PETROPOLIS;4843;56;3;194;2;3;5101
431330 NOVA PRATA;5779;194;2;777;9;9;6770
431333 NOVA RAMADA;514;2;4;41;-;1;562
431335 NOVA ROMA DO SUL;567;7;1;27;-;-;602
431337 NOVA SANTA RITA;6517;283;4;601;1;35;7441
431339 NOVO CABRAIS;710;87;1;40;-;-;838
431340 NOVO HAMBURGO;67759;2326;40;3447;22;83;73677
431342 NOVO MACHADO;701;1;-;13;-;3;718
431344 NOVO TIRADENTES;543;6;2;3;-;2;556
431346 NOVO XINGU;360;3;-;8;2;4;377
431349 NOVO BARREIRO;976;3;-;13;-;10;1002
431350 OSORIO;11997;669;4;788;41;24;13523
431360 PAIM FILHO;840;4;1;50;-;2;897
431365 PALMARES DO SUL;2618;235;-;229;17;12;3111
431370 PALMEIRA DAS MISSOES;11419;115;4;242;6;134;11920
431380 PALMITINHO;1850;16;5;158;9;4;2042
431390 PANAMBI;11609;93;5;987;8;23;12725
431395 PANTANO GRANDE;2201;341;2;233;1;14;2792
431400 PARAI;1579;32;-;48;-;7;1666
431402 PARAISO DO SUL;1382;101;2;106;-;3;1594
431403 PARECI NOVO;844;11;1;19;-;2;877
431405 PAROBE;16526;355;8;805;9;32;17735
431406 PASSA SETE;1162;23;-;24;1;10;1220
431407 PASSO DO SOBRADO;1099;54;1;83;-;7;1244
431410 PASSO FUNDO;57527;981;62;4898;65;27;63560
431413 PAULO BENTO;377;2;-;18;-;1;398
431415 PAVERAMA;1622;34;1;69;-;2;1728
431417 PEDRAS ALTAS;383;47;-;123;-;8;561
431420 PEDRO OSORIO;1670;234;1;215;3;52;2175
431430 PEJUCARA;848;6;-;94;-;1;949
431440 PELOTAS;76028;12422;88;6966;71;2686;98261
431442 PICADA CAFE;1039;17;-;39;-;2;1097
431445 PINHAL;793;11;-;22;-;3;829
431446 PINHAL DA SERRA;399;4;-;41;-;1;445
431447 PINHAL GRANDE;980;9;-;61;-;6;1056
431449 PINHEIRINHO DO VALE;1077;11;2;76;1;13;1180
431450 PINHEIRO MACHADO;2142;410;3;477;4;35;3071
431454 PINTO BANDEIRA;226;5;-;15;2;1;249
431455 PIRAPO;505;2;1;12;-;-;520
431460 PIRATINI;3629;393;4;545;9;46;4626
431470 PLANALTO;2429;19;4;73;716;9;3250
431475 POCO DAS ANTAS;390;22;1;15;-;3;431
431477 PONTAO;1008;4;-;64;3;-;1079
431478 PONTE PRETA;309;3;1;17;-;-;330
431480 PORTAO;8171;254;15;412;6;42;8900
431490 PORTO ALEGRE;323574;58772;415;41409;514;987;425671
431500 PORTO LUCENA;838;3;3;74;-;1;919
431505 PORTO MAUA;422;5;1;57;-;3;488
431507 PORTO VERA CRUZ;325;2;1;22;-;1;351
431510 PORTO XAVIER;2719;16;45;286;-;4;3070
431513 POUSO NOVO;386;2;-;40;1;1;430
431514 PRESIDENTE LUCENA;633;4;-;20;-;3;660
431515 PROGRESSO;1291;11;-;156;2;2;1462
431517 PROTASIO ALVES;315;9;-;32;-;1;357
431520 PUTINGA;794;5;-;30;-;2;831
431530 QUARAI;6551;144;1;486;2;24;7208
431531 QUATRO IRMAOS;298;13;-;111;1;-;423
431532 QUEVEDOS;537;5;-;29;-;3;574
431535 QUINZE DE NOVEMBRO;811;2;2;22;-;-;837
431540 REDENTORA;1864;15;12;167;2843;37;4938
431545 RELVADO;325;7;-;8;1;-;341
431550 RESTINGA SECA;2985;459;4;505;4;27;3984
431555 RIO DOS INDIOS;755;21;2;29;65;5;877
431560 RIO GRANDE;48673;6160;55;6428;58;373;61747
431570 RIO PARDO;7947;1050;5;782;7;8;9799
431575 RIOZINHO;1003;8;-;46;14;5;1076
431580 ROCA SALES;2115;51;1;107;2;13;2289
431590 RODEIO BONITO;1833;24;-;37;6;6;1906
431595 ROLADOR;459;2;-;10;-;2;473
431600 ROLANTE;5409;96;2;295;3;21;5826
431610 RONDA ALTA;2095;14;5;93;598;12;2817
431620 RONDINHA;1075;3;-;58;-;4;1140
431630 ROQUE GONZALES;1396;23;7;234;-;1;1661
431640 ROSARIO DO SUL;11168;545;1;312;1;27;12054
431642 SAGRADA FAMILIA;658;5;-;13;-;8;684
431643 SALDANHA MARINHO;549;6;2;20;1;2;580
431645 SALTO DO JACUI;3156;86;6;229;126;21;3624
431647 SALVADOR DAS MISSOES;485;-;-;24;-;1;510
431650 SALVADOR DO SUL;1623;43;1;50;1;2;1720
431660 SANANDUVA;3566;48;1;196;5;6;3822
431670 SANTA BARBARA DO SUL;2282;16;2;78;3;11;2392
431673 SANTA CECILIA DO SUL;344;3;-;20;4;-;371
431675 SANTA CLARA DO SUL;1348;20;-;35;-;1;1404
431680 SANTA CRUZ DO SUL;29552;2763;44;3789;15;29;36192
431690 SANTA MARIA;66581;4311;43;8288;98;154;79475
431695 SANTA MARIA DO HERVAL;1192;10;2;20;-;7;1231
431697 SANTA MARGARIDA DO SUL;387;9;-;68;-;-;464
431700 SANTANA DA BOA VISTA;1662;103;-;97;2;18;1882
431710 SANT'ANA DO LIVRAMENTO;22626;2037;85;2864;86;131;27829
431720 SANTA ROSA;19847;226;38;1469;13;21;21614
431725 SANTA TEREZA;257;-;1;12;-;1;271
431730 SANTA VITORIA DO PALMAR;7850;932;-;669;3;13;9467
431740 SANTIAGO;13351;102;12;576;11;23;14075
431750 SANTO ANGELO;22093;162;47;1872;40;15;24229
431755 SANTO ANTONIO DO PALMA;417;7;-;15;-;-;439
431760 SANTO ANTONIO DA PATRULHA;9170;924;5;496;2;36;10633
431770 SANTO ANTONIO DAS MISSOES;2740;47;1;107;-;5;2900
431775 SANTO ANTONIO DO PLANALTO;509;1;-;8;-;-;518
431780 SANTO AUGUSTO;3654;17;101;543;7;9;4331
431790 SANTO CRISTO;3397;19;3;104;-;2;3525
431795 SANTO EXPEDITO DO SUL;577;3;-;11;1;-;592
431800 SAO BORJA;18810;130;2;621;1;54;19618
431805 SAO DOMINGOS DO SUL;591;2;-;7;-;1;601
431810 SAO FRANCISCO DE ASSIS;4257;57;4;220;1;12;4551
431820 SAO FRANCISCO DE PAULA;5800;181;14;617;5;78;6695
431830 SAO GABRIEL;14797;1257;3;2697;2;8;18764
431840 SAO JERONIMO;6240;388;-;412;2;6;7048
431842 SAO JOAO DA URTIGA;882;7;1;23;1;4;918
431843 SAO JOAO DO POLESINE;426;69;1;93;2;-;591
431844 SAO JORGE;508;14;-;33;-;-;555
431845 SAO JOSE DAS MISSOES;723;3;-;15;-;4;745
431846 SAO JOSE DO HERVAL;458;12;-;76;-;4;550
431848 SAO JOSE DO HORTENCIO;853;5;1;20;-;7;886
431849 SAO JOSE DO INHACORA;416;3;-;7;-;1;427
431850 SAO JOSE DO NORTE;5070;629;10;1232;9;44;6994
431860 SAO JOSE DO OURO;1736;8;2;61;7;3;1817
431861 SAO JOSE DO SUL;404;6;-;15;-;1;426
431862 SAO JOSE DOS AUSENTES;935;50;5;160;1;9;1160
431870 SAO LEOPOLDO;64464;2685;63;3252;86;328;70878
431880 SAO LOURENCO DO SUL;9231;1183;7;322;3;24;10770
431890 SAO LUIZ GONZAGA;10834;71;4;300;5;28;11242
431900 SAO MARCOS;4996;37;-;315;1;6;5355
431910 SAO MARTINHO;1280;9;13;87;-;2;1391
431912 SAO MARTINHO DA SERRA;615;9;-;31;-;-;655
431915 SAO MIGUEL DAS MISSOES;1883;13;2;119;121;3;2141
431920 SAO NICOLAU;1488;8;1;44;-;8;1549
431930 SAO PAULO DAS MISSOES;1117;8;3;261;-;2;1391
431935 SAO PEDRO DA SERRA;810;8;2;22;1;2;845
